"","symbol","EntrezGene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000035273","Hpse","15442",283.67388531108,1.9162800286158,0.166943488234937,11.4786150024555,1.68965397897468e-30,2.90439450028755e-28
"ENSMUSG00000021939","Ctsb","13030",56547.4206386225,0.426394526616374,0.0372517390855532,11.4462985375557,2.45402076522913e-30,4.18836948335028e-28
"ENSMUSG00000040613","Apobec1","11810",313.010141054604,1.31439919176108,0.115583691032388,11.3718395737403,5.77573174325072e-30,9.78823833812173e-28
"ENSMUSG00000052688","Rab7b","226421",229.432395227574,1.72728772564998,0.151969437262131,11.3660204102131,6.17387597616072e-30,1.03898129626789e-27
"ENSMUSG00000024164","C3","12266",554.124038442651,1.13105174694526,0.0996699650854313,11.3479697316617,7.59047333987042e-30,1.26850514530543e-27
"ENSMUSG00000000290","Itgb2","16414",1077.75776485273,1.62638099674791,0.144678282205974,11.2413623658627,2.55409962254605e-29,4.23892464941867e-27
"ENSMUSG00000018126","Baiap2l2","207495",337.077743765587,1.41830327613289,0.126403903104348,11.2204072920285,3.23775811839711e-29,5.33675678898811e-27
"ENSMUSG00000056529","Ptafr","19204",240.260357413154,1.16038798700608,0.103698746297899,11.1899905103249,4.5648248881037e-29,7.47295992736161e-27
"ENSMUSG00000029810","Tmem176b","65963",1782.217555227,0.672134829387556,0.0608204055560901,11.0511402093118,2.16448128508637e-28,3.51947581929753e-26
"ENSMUSG00000048120","Entpd1","12495",1526.78782968654,0.512016035514158,0.0463482778986607,11.0471426065423,2.26303520641869e-28,3.6550296807024e-26
"ENSMUSG00000044827","Tlr1","21897",100.220430001614,2.33301710460031,0.213855766398628,10.9093018340761,1.04052380237982e-27,1.66934702028469e-25
"ENSMUSG00000090675","Or5v1b","545205",157.483424976962,3.91474168496459,0.359693222515474,10.8835569866657,1.38067929822245e-27,2.20040048422009e-25
"ENSMUSG00000030341","Tnfrsf1a","21937",1346.79841482587,0.683344480200511,0.0630577594958752,10.8368024120047,2.30383185732496e-27,3.64748116095561e-25
"ENSMUSG00000044811","Cd300c2","140497",338.142082944728,1.28187957221546,0.118532841735625,10.8145519287773,2.93724476535598e-27,4.61992126001906e-25
"ENSMUSG00000018654","Ikzf1","22778",618.182011637185,0.855583757262246,0.079177380038754,10.8059114464696,3.2273577297016e-27,5.04327037436812e-25
"ENSMUSG00000071203","Naip5","17951",272.124480304124,1.29074939922234,0.120004946068582,10.7558016690802,5.56480186833952e-27,8.63980367494133e-25
"ENSMUSG00000033220","Rac2","19354",255.29460154391,1.11347588258399,0.103937120248128,10.7129760755907,8.84711227363259e-27,1.36478049272416e-24
